,produto,preco,preco_antigo,descricao_produto,parcelas_sem_juros,frete_gratis,diferenca,desconto_porcento,media_desconto,mediana
11,Samsung Galaxy M22 Dual SIM 128 GB azul 4 GB RAM,1399,1799,"R$ 1.799
R$ 1.399
22% OFF
10x R$ 13990 sem juros
Frete grátis
Samsung Galaxy M22 Dual SIM 128 GB azul 4 GB RAM
por Mercado Livre",10,SIM,400,22.23,80.78,20.0
12,Samsung Galaxy A12 Dual SIM 64 GB preto 4 GB RAM,999,1093,"R$ 1.093
R$ 999
8% OFF
10x R$ 9990 sem juros
Frete grátis
Samsung Galaxy A12 Dual SIM 64 GB preto 4 GB RAM
por Mobcom",10,SIM,94,8.6,80.78,20.0
13,Samsung Galaxy A51 Dual SIM 128 GB prism crush black 4 GB RAM,1649,2699,"R$ 2.699
R$ 1.649
38% OFF
12x R$ 13742 sem juros
Frete grátis
44% vendido
Restam02:12:53
Samsung Galaxy A51 Dual SIM 128 GB prism crush black 4 GB RAM
por Mercado Livre",12,SIM,1050,38.9,80.78,20.0
14,Samsung Galaxy A12 Dual SIM 64 GB azul 4 GB RAM,999,1099,"R$ 1.099
R$ 999
9% OFF
10x R$ 9990 sem juros
Frete grátis
Samsung Galaxy A12 Dual SIM 64 GB azul 4 GB RAM
por Mobcom",10,SIM,100,9.1,80.78,20.0
15,Fraldas Huggies Supreme Care M 40 u,49,57,"R$ 57
R$ 4990
12% OFF
Fraldas Huggies Supreme Care M 40 u
por Mercado Livre",0,NÃO,8,14.04,80.78,20.0
16,Máquina Solda Inversora 230a 220v Alumínio Tig 250g Eletrodo,448,498,"OFERTA DO DIA
R$ 498
R$ 44820
10% OFF
10x R$ 4482 sem juros
Frete grátis
Máquina Solda Inversora 230a 220v Alumínio Tig 250g Eletrodo",10,SIM,50,10.04,80.78,20.0
17,Samsung Galaxy A32 Dual SIM 128 GB violeta 4 GB RAM,1549,2399,"R$ 2.399
R$ 1.549
35% OFF
12x R$ 12908 sem juros
Frete grátis
Samsung Galaxy A32 Dual SIM 128 GB violeta 4 GB RAM
por Mercado Livre",12,SIM,850,35.43,80.78,20.0
18,Fraldas Huggies Supreme Care Roupinha G 60 u,62,97,"R$ 97
R$ 6295
35% OFF
Frete grátis
53% vendido
Restam01:12:53
Fraldas Huggies Supreme Care Roupinha G 60 u
por Mercado Livre",0,SIM,35,36.08,80.78,20.0
19,Varal De Chão Reforçado Com Abas Dobrável Retrátil Slim Mor,102,132,"OFERTA DO DIA
R$ 132
R$ 10240
23% OFF
Frete grátis
Varal De Chão Reforçado Com Abas Dobrável Retrátil Slim Mor",0,SIM,30,22.73,80.78,20.0
20,Caixa Trio Som Completa Bomber One 12 + Módulo Taramps,707,786,"OFERTA DO DIA
R$ 786
R$ 70799
10% OFF
10x R$ 7080 sem juros
Frete grátis
Caixa Trio Som Completa Bomber One 12 + Módulo Taramps
por Detoner",10,SIM,79,10.05,80.78,20.0
22,Alto-falante JBL Boombox 2 portátil com bluetooth black,2459,2899,"R$ 2.899
R$ 2.459
15% OFF
12x R$ 20492 sem juros
Frete grátis
Alto-falante JBL Boombox 2 portátil com bluetooth black
por Mercado Livre",12,SIM,440,15.18,80.78,20.0
23,Maquina Acabamento Recarregável Detalhe Cabelo Barba Sem Fio,104,114,"OFERTA DO DIA
R$ 114
R$ 10456
8% OFF
Frete grátis
Maquina Acabamento Recarregável Detalhe Cabelo Barba Sem Fio",0,SIM,10,8.77,80.78,20.0
24,Moto G60 Dual SIM 128 GB champagne 6 GB RAM,1949,2699,"R$ 2.699
R$ 1.949
27% OFF
12x R$ 16242 sem juros
Frete grátis
Moto G60 Dual SIM 128 GB champagne 6 GB RAM
por Mercado Livre",12,SIM,750,27.79,80.78,20.0
25,Speed Dome Câmera Ip 1080p Full Hd Wifi A Prova D'água Ip66,233,268,"OFERTA DO DIA
R$ 268
R$ 23316
13% OFF
7x R$ 3331 sem juros
Frete grátis
Speed Dome Câmera Ip 1080p Full Hd Wifi A Prova D'água Ip66",7,SIM,35,13.06,80.78,20.0
26,Receptor Digital Century Midiabox B4 Azul Hd Tv Midia Box B4,343,439,"OFERTA DO DIA
R$ 439
R$ 34312
22% OFF
Frete grátis
Receptor Digital Century Midiabox B4 Azul Hd Tv Midia Box B4
por We Market",0,SIM,96,21.87,80.78,20.0
27,Speed Dome Câmera Ip 1080p Full Hd Wifi A Prova D'água Ip66,215,248,"OFERTA DO DIA
R$ 248
R$ 21576
13% OFF
Frete grátis
Speed Dome Câmera Ip 1080p Full Hd Wifi A Prova D'água Ip66",0,SIM,33,13.31,80.78,20.0
28,Motosserra A Gasolina 52cc Profissional Moto Serra Motoserra,599,659,"OFERTA DO DIA
R$ 659
R$ 59969
9% OFF
10x R$ 5997 sem juros
Frete grátis
Motosserra A Gasolina 52cc Profissional Moto Serra Motoserra",10,SIM,60,9.1,80.78,20.0
29,Máquina Solda Inversora 155a 110v 127v + Máscara + Brindes,446,496,"OFERTA DO DIA
R$ 496
R$ 44640
10% OFF
10x R$ 4464 sem juros
Frete grátis
Máquina Solda Inversora 155a 110v 127v + Máscara + Brindes",10,SIM,50,10.08,80.78,20.0
30,Moto E6i Dual SIM 32 GB pink 2 GB RAM,699,1099,"R$ 1.099
R$ 699
36% OFF
Frete grátis
Moto E6i Dual SIM 32 GB pink 2 GB RAM
por Mercado Livre",0,SIM,400,36.4,80.78,20.0
31,Grill Sanduicheira Asteria Press Mallory 900w Inox Antiadere,154,169,"OFERTA DO DIA
R$ 169
R$ 15460
9% OFF
Frete grátis
Grill Sanduicheira Asteria Press Mallory 900w Inox Antiadere
por Kubbo",0,SIM,15,8.88,80.78,20.0
32,Samsung Galaxy A12 Dual SIM 64 GB vermelho 4 GB RAM,999,1065,"R$ 1.065
R$ 999
6% OFF
10x R$ 9990 sem juros
Frete grátis
Samsung Galaxy A12 Dual SIM 64 GB vermelho 4 GB RAM
por Mobcom",10,SIM,66,6.2,80.78,20.0
33,Apple iPhone 13 Pro Max (128 GB) - Grafite,7669,8083,"R$ 8.083
R$ 7.669
5% OFF
12x R$ 63908 sem juros
Apple iPhone 13 Pro Max (128 GB) - Grafite
por Apple",12,NÃO,414,5.12,80.78,20.0
34,Purificador Ibbl E-due Equilibrium Água Natural E Gelada -,539,629,"OFERTA DO DIA
R$ 629
R$ 53990
14% OFF
10x R$ 5399 sem juros
Frete grátis
Purificador Ibbl E-due Equilibrium Água Natural E Gelada -
por H2O Purificadores",10,SIM,90,14.31,80.78,20.0
35,Moto G20 Dual SIM 64 GB grafite 4 GB RAM,1211,1699,"R$ 1.699
R$ 1.211
28% OFF
10x R$ 12110 sem juros
Frete grátis
Moto G20 Dual SIM 64 GB grafite 4 GB RAM
por Mercado Livre",10,SIM,488,28.72,80.78,20.0
36,Serra Marmore Esmerilhadeira Lixadeira 220 V Black + Decker,317,349,"OFERTA DO DIA
R$ 349
R$ 31759
9% OFF
10x R$ 3176 sem juros
Frete grátis
Serra Marmore Esmerilhadeira Lixadeira 220 V Black + Decker",10,SIM,32,9.17,80.78,20.0
37,"Tablet Samsung Galaxy Tab S6 Lite SM-P615 10.4"" 64GB oxford gray 4GB de memória RAM",2299,2999,"R$ 2.999
R$ 2.299
23% OFF
12x R$ 19158 sem juros
Frete grátis
Tablet Samsung Galaxy Tab S6 Lite SM-P615 10.4"" 64GB oxford gray 4GB de memória RAM
por Mercado Livre",12,SIM,700,23.34,80.78,20.0
38,Soprador Térmico Vonder Profissional Stv1500n 500° C/4 Bicos,169,186,"OFERTA DO DIA
R$ 186
R$ 16989
9% OFF
Frete grátis
Soprador Térmico Vonder Profissional Stv1500n 500° C/4 Bicos",0,SIM,17,9.14,80.78,20.0
39,Samsung Galaxy M52 5G Dual SIM 128 GB white 6 GB RAM,1749,3499,"R$ 3.499
R$ 1.749
50% OFF
12x R$ 14575 sem juros
Frete grátis
Samsung Galaxy M52 5G Dual SIM 128 GB white 6 GB RAM",12,SIM,1750,50.01,80.78,20.0
40,"Smart TV Multilaser TL020 DLED HD 32"" 100V/240V",1189,1699,"R$ 1.699
R$ 1.189
30% OFF
10x R$ 11890 sem juros
Frete grátis
Smart TV Multilaser TL020 DLED HD 32"" 100V/240V
por INPOWER",10,SIM,510,30.02,80.78,20.0
41,Impressora a cor multifuncional Epson EcoTank L4260 com wifi preta 100V/240V,1500,1849,"R$ 1.849
R$ 1.500
18% OFF
10x R$ 14999 sem juros
Frete grátis
Impressora a cor multifuncional Epson EcoTank L4260 com wifi preta 100V/240V
por Mercado Livre",10,SIM,349,18.88,80.78,20.0
42,Kit 3 Calça Jeans Skinny Masculina Com Lycra Estica Muito Nf,152,173,"R$ 173
R$ 15264
11% OFF
Frete grátis
Kit 3 Calça Jeans Skinny Masculina Com Lycra Estica Muito Nf",0,SIM,21,12.14,80.78,20.0
44,"Smart Box Tv Transforme Sua Tv Lcd, Tubo, Led Em Smart Tv",244,259,"OFERTA DO DIA
R$ 259
R$ 24429
6% OFF
8x R$ 3054 sem juros
Frete grátis
Smart Box Tv Transforme Sua Tv Lcd, Tubo, Led Em Smart Tv",8,SIM,15,5.79,80.78,20.0
45,Cama box Ortobom freedom King de 203cmx193cm couro branco com base dividida,3598,3934,"OFERTA DO DIA
R$ 3.934
R$ 3.598
8% OFF
12x R$ 29983 sem juros
5% OFF com Pix
Frete grátis
Cama box Ortobom freedom King de 203cmx193cm couro branco com base dividida
por SONOS",12,SIM,336,8.54,80.78,20.0
46,Chuveiro elétrico de parede Lorenzetti Acqua Ultra Duo preto-cromado 7800W 220V,419,574,"R$ 574
R$ 41990
26% OFF
10x R$ 4199 sem juros
Frete grátis
Chuveiro elétrico de parede Lorenzetti Acqua Ultra Duo preto-cromado 7800W 220V
por Casa e Garagem",10,SIM,155,27.0,80.78,20.0
47,Kit Jogo De Ferramentas 129 Peças + Maleta Sparta,110,123,"OFERTA DO DIA
R$ 123
R$ 11070
10% OFF
Frete grátis
Kit Jogo De Ferramentas 129 Peças + Maleta Sparta
por Ismafer Ferramentas",0,SIM,13,10.57,80.78,20.0
48,LG K62+ Dual SIM 128 GB white 4 GB RAM,1299,2099,"OFERTA DO DIA
R$ 2.099
R$ 1.299
38% OFF
10x R$ 12990 sem juros
Frete grátis
LG K62+ Dual SIM 128 GB white 4 GB RAM
por Mercado Livre",10,SIM,800,38.11,80.78,20.0
49,Pneu Goodyear Kelly Edge Touring P 175/70R13 82 T,314,349,"OFERTA DO DIA
R$ 349
R$ 31410
10% OFF
10x R$ 3141 sem juros
Pneu Goodyear Kelly Edge Touring P 175/70R13 82 T
por Achei Pneus",10,NÃO,35,10.03,80.78,20.0
50,Kit 2 Refletor Led 100w Holofote Bivolt Prova Dágua Luz Frio,105,119,"OFERTA DO DIA
R$ 119
R$ 10514
12% OFF
Frete grátis
Kit 2 Refletor Led 100w Holofote Bivolt Prova Dágua Luz Frio",0,SIM,14,11.76,80.78,20.0
51,iPhone 7 128 Gb Vitrine Rose Desbloqueado Em 12x Sem Juros,1424,1499,"OFERTA DO DIA
R$ 1.499
R$ 1.424
5% OFF
10x R$ 14241 sem juros
Frete grátis
iPhone 7 128 Gb Vitrine Rose Desbloqueado Em 12x Sem Juros",10,SIM,75,5.0,80.78,20.0
52,Fritadeira Elétrica Multilaser Air Fryer 4 Litros 1500w 110v,389,499,"OFERTA DO DIA
R$ 499
R$ 38990
22% OFF
10x R$ 3899 sem juros
Frete grátis
Fritadeira Elétrica Multilaser Air Fryer 4 Litros 1500w 110v
por 123 Comprou",10,SIM,110,22.04,80.78,20.0
53,"Nintendo Switch 32GB Standard cor vermelho-néon, azul-néon e preto",2294,2549,"OFERTA DO DIA
R$ 2.549
R$ 2.294
10% OFF
Frete grátis
Nintendo Switch 32GB Standard cor vermelho-néon, azul-néon e preto
por 25Best",0,SIM,255,10.0,80.78,20.0
54,Fechadura Eletrônica Touch Digital Com Senha Fr101 Intelbras,389,419,"OFERTA DO DIA
R$ 419
R$ 38967
7% OFF
10x R$ 3897 sem juros
Frete grátis
Fechadura Eletrônica Touch Digital Com Senha Fr101 Intelbras
por 2Eletro",10,SIM,30,7.16,80.78,20.0
56,"Tablet Samsung Galaxy Tab S7 FE SM-T736B 12.4"" 128GB mystic silver 6GB de memória RAM",3599,4999,"OFERTA DO DIA
R$ 4.999
R$ 3.599
28% OFF
12x R$ 29992 sem juros
Frete grátis
Tablet Samsung Galaxy Tab S7 FE SM-T736B 12.4"" 128GB mystic silver 6GB de memória RAM
por Mercado Livre",12,SIM,1400,28.01,80.78,20.0
57,Kit 200 Máscara Caixa Descartável Tripla C/ Filtro Meltblown,49,58,"R$ 58
R$ 4980
15% OFF
Kit 200 Máscara Caixa Descartável Tripla C/ Filtro Meltblown",0,NÃO,9,15.52,80.78,20.0
58,Samsung Galaxy A12 Dual SIM 64 GB branco 4 GB RAM,998,1064,"R$ 1.064
R$ 998
6% OFF
10x R$ 9980 sem juros
Frete grátis
Samsung Galaxy A12 Dual SIM 64 GB branco 4 GB RAM
por Mobcom",10,SIM,66,6.2,80.78,20.0
59,Samsung Galaxy M22 Dual SIM 128 GB azul 4 GB RAM,1399,1799,"R$ 1.799
R$ 1.399
22% OFF
10x R$ 13990 sem juros
Frete grátis
Samsung Galaxy M22 Dual SIM 128 GB azul 4 GB RAM
por Mercado Livre",10,SIM,400,22.23,80.78,20.0
60,Samsung Galaxy A12 Dual SIM 64 GB preto 4 GB RAM,999,1093,"R$ 1.093
R$ 999
8% OFF
10x R$ 9990 sem juros
Frete grátis
Samsung Galaxy A12 Dual SIM 64 GB preto 4 GB RAM
por Mobcom",10,SIM,94,8.6,80.78,20.0
61,Samsung Galaxy A51 Dual SIM 128 GB prism crush black 4 GB RAM,1649,2699,"R$ 2.699
R$ 1.649
38% OFF
12x R$ 13742 sem juros
Frete grátis
44% vendido
Restam02:12:48
Samsung Galaxy A51 Dual SIM 128 GB prism crush black 4 GB RAM
por Mercado Livre",12,SIM,1050,38.9,80.78,20.0
62,Samsung Galaxy A12 Dual SIM 64 GB azul 4 GB RAM,999,1099,"R$ 1.099
R$ 999
9% OFF
10x R$ 9990 sem juros
Frete grátis
Samsung Galaxy A12 Dual SIM 64 GB azul 4 GB RAM
por Mobcom",10,SIM,100,9.1,80.78,20.0
63,Fraldas Huggies Supreme Care M 40 u,49,57,"R$ 57
R$ 4990
12% OFF
Fraldas Huggies Supreme Care M 40 u
por Mercado Livre",0,NÃO,8,14.04,80.78,20.0
64,Máquina Solda Inversora 230a 220v Alumínio Tig 250g Eletrodo,448,498,"OFERTA DO DIA
R$ 498
R$ 44820
10% OFF
10x R$ 4482 sem juros
Frete grátis
Máquina Solda Inversora 230a 220v Alumínio Tig 250g Eletrodo",10,SIM,50,10.04,80.78,20.0
65,Samsung Galaxy A32 Dual SIM 128 GB violeta 4 GB RAM,1549,2399,"R$ 2.399
R$ 1.549
35% OFF
12x R$ 12908 sem juros
Frete grátis
Samsung Galaxy A32 Dual SIM 128 GB violeta 4 GB RAM
por Mercado Livre",12,SIM,850,35.43,80.78,20.0
66,Fraldas Huggies Supreme Care Roupinha G 60 u,62,97,"R$ 97
R$ 6295
35% OFF
Frete grátis
53% vendido
Restam01:12:48
Fraldas Huggies Supreme Care Roupinha G 60 u
por Mercado Livre",0,SIM,35,36.08,80.78,20.0
67,Varal De Chão Reforçado Com Abas Dobrável Retrátil Slim Mor,102,132,"OFERTA DO DIA
R$ 132
R$ 10240
23% OFF
Frete grátis
Varal De Chão Reforçado Com Abas Dobrável Retrátil Slim Mor",0,SIM,30,22.73,80.78,20.0
68,Caixa Trio Som Completa Bomber One 12 + Módulo Taramps,707,786,"OFERTA DO DIA
R$ 786
R$ 70799
10% OFF
10x R$ 7080 sem juros
Frete grátis
Caixa Trio Som Completa Bomber One 12 + Módulo Taramps
por Detoner",10,SIM,79,10.05,80.78,20.0
70,Alto-falante JBL Boombox 2 portátil com bluetooth black,2459,2899,"R$ 2.899
R$ 2.459
15% OFF
12x R$ 20492 sem juros
Frete grátis
Alto-falante JBL Boombox 2 portátil com bluetooth black
por Mercado Livre",12,SIM,440,15.18,80.78,20.0
71,Maquina Acabamento Recarregável Detalhe Cabelo Barba Sem Fio,104,114,"OFERTA DO DIA
R$ 114
R$ 10456
8% OFF
Frete grátis
Maquina Acabamento Recarregável Detalhe Cabelo Barba Sem Fio",0,SIM,10,8.77,80.78,20.0
72,Moto G60 Dual SIM 128 GB champagne 6 GB RAM,1949,2699,"R$ 2.699
R$ 1.949
27% OFF
12x R$ 16242 sem juros
Frete grátis
Moto G60 Dual SIM 128 GB champagne 6 GB RAM
por Mercado Livre",12,SIM,750,27.79,80.78,20.0
73,Speed Dome Câmera Ip 1080p Full Hd Wifi A Prova D'água Ip66,233,268,"OFERTA DO DIA
R$ 268
R$ 23316
13% OFF
7x R$ 3331 sem juros
Frete grátis
Speed Dome Câmera Ip 1080p Full Hd Wifi A Prova D'água Ip66",7,SIM,35,13.06,80.78,20.0
74,Receptor Digital Century Midiabox B4 Azul Hd Tv Midia Box B4,343,439,"OFERTA DO DIA
R$ 439
R$ 34312
22% OFF
Frete grátis
Receptor Digital Century Midiabox B4 Azul Hd Tv Midia Box B4
por We Market",0,SIM,96,21.87,80.78,20.0
75,Speed Dome Câmera Ip 1080p Full Hd Wifi A Prova D'água Ip66,215,248,"OFERTA DO DIA
R$ 248
R$ 21576
13% OFF
Frete grátis
Speed Dome Câmera Ip 1080p Full Hd Wifi A Prova D'água Ip66",0,SIM,33,13.31,80.78,20.0
76,Motosserra A Gasolina 52cc Profissional Moto Serra Motoserra,599,659,"OFERTA DO DIA
R$ 659
R$ 59969
9% OFF
10x R$ 5997 sem juros
Frete grátis
Motosserra A Gasolina 52cc Profissional Moto Serra Motoserra",10,SIM,60,9.1,80.78,20.0
77,Máquina Solda Inversora 155a 110v 127v + Máscara + Brindes,446,496,"OFERTA DO DIA
R$ 496
R$ 44640
10% OFF
10x R$ 4464 sem juros
Frete grátis
Máquina Solda Inversora 155a 110v 127v + Máscara + Brindes",10,SIM,50,10.08,80.78,20.0
78,Moto E6i Dual SIM 32 GB pink 2 GB RAM,699,1099,"R$ 1.099
R$ 699
36% OFF
Frete grátis
Moto E6i Dual SIM 32 GB pink 2 GB RAM
por Mercado Livre",0,SIM,400,36.4,80.78,20.0
79,Grill Sanduicheira Asteria Press Mallory 900w Inox Antiadere,154,169,"OFERTA DO DIA
R$ 169
R$ 15460
9% OFF
Frete grátis
Grill Sanduicheira Asteria Press Mallory 900w Inox Antiadere
por Kubbo",0,SIM,15,8.88,80.78,20.0
80,Samsung Galaxy A12 Dual SIM 64 GB vermelho 4 GB RAM,999,1065,"R$ 1.065
R$ 999
6% OFF
10x R$ 9990 sem juros
Frete grátis
Samsung Galaxy A12 Dual SIM 64 GB vermelho 4 GB RAM
por Mobcom",10,SIM,66,6.2,80.78,20.0
81,Apple iPhone 13 Pro Max (128 GB) - Grafite,7669,8083,"R$ 8.083
R$ 7.669
5% OFF
12x R$ 63908 sem juros
Apple iPhone 13 Pro Max (128 GB) - Grafite
por Apple",12,NÃO,414,5.12,80.78,20.0
82,Purificador Ibbl E-due Equilibrium Água Natural E Gelada -,539,629,"OFERTA DO DIA
R$ 629
R$ 53990
14% OFF
10x R$ 5399 sem juros
Frete grátis
Purificador Ibbl E-due Equilibrium Água Natural E Gelada -
por H2O Purificadores",10,SIM,90,14.31,80.78,20.0
83,Moto G20 Dual SIM 64 GB grafite 4 GB RAM,1211,1699,"R$ 1.699
R$ 1.211
28% OFF
10x R$ 12110 sem juros
Frete grátis
Moto G20 Dual SIM 64 GB grafite 4 GB RAM
por Mercado Livre",10,SIM,488,28.72,80.78,20.0
84,Serra Marmore Esmerilhadeira Lixadeira 220 V Black + Decker,317,349,"OFERTA DO DIA
R$ 349
R$ 31759
9% OFF
10x R$ 3176 sem juros
Frete grátis
Serra Marmore Esmerilhadeira Lixadeira 220 V Black + Decker",10,SIM,32,9.17,80.78,20.0
85,"Tablet Samsung Galaxy Tab S6 Lite SM-P615 10.4"" 64GB oxford gray 4GB de memória RAM",2299,2999,"R$ 2.999
R$ 2.299
23% OFF
12x R$ 19158 sem juros
Frete grátis
Tablet Samsung Galaxy Tab S6 Lite SM-P615 10.4"" 64GB oxford gray 4GB de memória RAM
por Mercado Livre",12,SIM,700,23.34,80.78,20.0
86,Soprador Térmico Vonder Profissional Stv1500n 500° C/4 Bicos,169,186,"OFERTA DO DIA
R$ 186
R$ 16989
9% OFF
Frete grátis
Soprador Térmico Vonder Profissional Stv1500n 500° C/4 Bicos",0,SIM,17,9.14,80.78,20.0
87,Samsung Galaxy M52 5G Dual SIM 128 GB white 6 GB RAM,1749,3499,"R$ 3.499
R$ 1.749
50% OFF
12x R$ 14575 sem juros
Frete grátis
Samsung Galaxy M52 5G Dual SIM 128 GB white 6 GB RAM",12,SIM,1750,50.01,80.78,20.0
88,"Smart TV Multilaser TL020 DLED HD 32"" 100V/240V",1189,1699,"R$ 1.699
R$ 1.189
30% OFF
10x R$ 11890 sem juros
Frete grátis
Smart TV Multilaser TL020 DLED HD 32"" 100V/240V
por INPOWER",10,SIM,510,30.02,80.78,20.0
89,Impressora a cor multifuncional Epson EcoTank L4260 com wifi preta 100V/240V,1500,1849,"R$ 1.849
R$ 1.500
18% OFF
10x R$ 14999 sem juros
Frete grátis
Impressora a cor multifuncional Epson EcoTank L4260 com wifi preta 100V/240V
por Mercado Livre",10,SIM,349,18.88,80.78,20.0
90,Kit 3 Calça Jeans Skinny Masculina Com Lycra Estica Muito Nf,152,173,"R$ 173
R$ 15264
11% OFF
Frete grátis
Kit 3 Calça Jeans Skinny Masculina Com Lycra Estica Muito Nf",0,SIM,21,12.14,80.78,20.0
92,"Smart Box Tv Transforme Sua Tv Lcd, Tubo, Led Em Smart Tv",244,259,"OFERTA DO DIA
R$ 259
R$ 24429
6% OFF
8x R$ 3054 sem juros
Frete grátis
Smart Box Tv Transforme Sua Tv Lcd, Tubo, Led Em Smart Tv",8,SIM,15,5.79,80.78,20.0
93,Cama box Ortobom freedom King de 203cmx193cm couro branco com base dividida,3598,3934,"OFERTA DO DIA
R$ 3.934
R$ 3.598
8% OFF
12x R$ 29983 sem juros
5% OFF com Pix
Frete grátis
Cama box Ortobom freedom King de 203cmx193cm couro branco com base dividida
por SONOS",12,SIM,336,8.54,80.78,20.0
94,Chuveiro elétrico de parede Lorenzetti Acqua Ultra Duo preto-cromado 7800W 220V,419,574,"R$ 574
R$ 41990
26% OFF
10x R$ 4199 sem juros
Frete grátis
Chuveiro elétrico de parede Lorenzetti Acqua Ultra Duo preto-cromado 7800W 220V
por Casa e Garagem",10,SIM,155,27.0,80.78,20.0
95,Kit Jogo De Ferramentas 129 Peças + Maleta Sparta,110,123,"OFERTA DO DIA
R$ 123
R$ 11070
10% OFF
Frete grátis
Kit Jogo De Ferramentas 129 Peças + Maleta Sparta
por Ismafer Ferramentas",0,SIM,13,10.57,80.78,20.0
96,Furadeira Parafusadeira Impacto 12v Com Maleta Pi-10ma Mondi,175,199,"R$ 199
R$ 175
12% OFF
6x R$ 2917 sem juros
Frete grátis
Furadeira Parafusadeira Impacto 12v Com Maleta Pi-10ma Mondi
por Dutra Maquinas",6,SIM,24,12.06,80.78,20.0
97,Pistola Pintura Pulverizadora Tinta Paint Com Bico De Metal,199,238,"R$ 238
R$ 19990
16% OFF
Frete grátis
Pistola Pintura Pulverizadora Tinta Paint Com Bico De Metal
por PANDA Ferramentas",0,SIM,39,16.39,80.78,20.0
98,Aspirador de pó Wap GTW 10 10L amarelo e preto 127V,293,329,"R$ 329
R$ 29361
11% OFF
9x R$ 3262 sem juros
Frete grátis
Aspirador de pó Wap GTW 10 10L amarelo e preto 127V
por O Pescador de Ofertas",9,SIM,36,10.94,80.78,20.0
99,Samsung Galaxy M12 (5000 mAh) Dual SIM 64 GB verde 4 GB RAM,1057,1599,"R$ 1.599
R$ 1.057
33% OFF
10x R$ 10570 sem juros
Frete grátis
Samsung Galaxy M12 (5000 mAh) Dual SIM 64 GB verde 4 GB RAM
por Mercado Livre",10,SIM,542,33.9,80.78,20.0
100,Kit 5 Bermudas Moletom Academia Treino C Nota Fiscal Full,116,129,"R$ 129
R$ 11673
10% OFF
Frete grátis
Kit 5 Bermudas Moletom Academia Treino C Nota Fiscal Full
por Ducam",0,SIM,13,10.08,80.78,20.0
101,Kit Unhas Gel Lixadeira Eletrica Motor Porquinho Cabine Sun5,380,448,"OFERTA DO DIA
R$ 448
R$ 38080
15% OFF
Frete grátis
Kit Unhas Gel Lixadeira Eletrica Motor Porquinho Cabine Sun5",0,SIM,68,15.18,80.78,20.0
